Main Author,Nombre total de citations,Volume,Date de publication,Auteurs,Revue,Pages,Numéro
Laurent Gajo,,,351,2001,(No Title),Laurent Gajo,
Laurent Gajo,6,2,332,2009/5/1,International journal of multilingualism,"Danièle Moore, Laurent Gajo",137-153
Laurent Gajo,10,5,294,2007/9/15,International Journal of Bilingual Education and Bilingualism,Laurent Gajo,563-581
Laurent Gajo,,,221,2000,,"Laurent Gajo, Lorenza Mondada",
Laurent Gajo,,28,99,2007/9/1,Tréma,Laurent Gajo,37-48
Laurent Gajo,,32,72,2000/6/1,Travaux neuchâtelois de linguistique,Laurent Gajo,39-53
Laurent Gajo,,,67,2004,,"Laurent Gajo, Marinette Matthey, Cecilia Oesch-Serra",
Laurent Gajo,40,,63,2014/9/16,The multilingual turn in languages education: Opportunities and challenges,Laurent Gajo,113-131
Laurent Gajo,,,57,2002,Education and society in plurilingual contexts,"Laurent Gajo, Cecilia Serra",75-95
Laurent Gajo,,,56,2006,,Laurent Gajo,
Laurent Gajo,,,53,2008,S’entendre entre langues voisines: vers l’intercompréhension,Laurent Gajo,131-150
Laurent Gajo,103,4,52,2009,Les langues modernes,Laurent Gajo,15-24
Laurent Gajo,71,4,46,2015/11,Canadian modern language review,"Laurent Gajo, Gabriela Steffen",471-499
Laurent Gajo,,27,42,1997/10/1,Travaux neuchâtelois de linguistique,Laurent Gajo,9-27
Laurent Gajo,,,40,2013/12/17,Exploring the dynamics of multilingualism: The DYLAN project,"Laurent Gajo, Anne Grobet, Cecilia Serra, Gabriela Steffen, Gabriele Müller, Anne-Claude Berthoud",279-298
Laurent Gajo,,,39,2013,Sociolinguistique du contact: dictionnaire des termes et concepts,"Bernard Py, Laurent Gajo",71-94
Laurent Gajo,,,39,2011,C. Beacco.–Paris: ADEB,"Jean Duverger, JC Beacco, M Causa, M Cavvalli, J Demarrty-Warzee, L Gajo, G Vigner",
Laurent Gajo,,,37,2008,Processus interactionnels et situations éducatives,"Laurent Gajo, Anne Grobet",113-136
Laurent Gajo,21,7,33,2018/10/3,International Journal of Bilingual Education and Bilingualism,"Laurent Gajo, Anne-Claude Berthoud",853-866
Laurent Gajo,,120,33,2000,Études de linguistique appliquée,"Laurent GAJO, Cecilia SERRA",497-508
Vincent Larivière,504,7479,1491,2013/12/12,Nature,"Vincent Larivière, Chaoqun Ni, Yves Gingras, Blaise Cronin, Cassidy R Sugimoto",211-213
Vincent Larivière,10,6,1297,2015/6/10,PloS one,"Vincent Larivière, Stefanie Haustein, Philippe Mongeon",e0127502
Vincent Larivière,8,5,1206,2013/5/28,PloS one,"Mike Thelwall, Stefanie Haustein, Vincent Larivière, Cassidy R Sugimoto",e64841
Vincent Larivière,6,,1085,2018/2/13,PeerJ,"Heather Piwowar, Jason Priem, Vincent Larivière, Juan Pablo Alperin, Lisa Matthias, Bree Norlander, Ashley Farley, Jevin West, Stefanie Haustein",e4375
Vincent Larivière,60,7,794,2009/7,Journal of the American society for information science and technology,"Éric Archambault, David Campbell, Yves Gingras, Vincent Larivière",1320-1326
Vincent Larivière,5,10,678,2010/10/18,PloS one,"Yassine Gargouri, Chawki Hajjem, Vincent Larivière, Yves Gingras, Les Carr, Tim Brody, Stevan Harnad",e13636
Vincent Larivière,68,9,624,2017/9,,"Cassidy R Sugimoto, Sam Work, Vincent Larivière, Stefanie Haustein",2037-2062
Vincent Larivière,68,3,611,2006/12/26,Scientometrics,"Éric Archambault, Étienne Vignola-Gagné, Grégoire Côté, Vincent Larivi? re, Yves Gingrasb",329-342
Vincent Larivière,65,4,521,2014/4,Journal of the Association for Information Science and Technology,"Stefanie Haustein, Isabella Peters, Cassidy R Sugimoto, Mike Thelwall, Vincent Larivière",656-669
Vincent Larivière,79,3,407,2009/6/1,Scientometrics,"Éric Archambault, Vincent Larivière",635-649
Vincent Larivière,10,3,403,2015/3/17,PloS one,"Stefanie Haustein, Rodrigo Costas, Vincent Larivière",e0120495
Vincent Larivière,66,7,384,2015/7,Journal of the Association for Information Science and Technology,"Vincent Larivière, Yves Gingras, Cassidy R Sugimoto, Andrew Tsou",1323-1332
Vincent Larivière,57,8,372,2006/6,Journal of the American Society for Information Science and Technology,"Vincent Larivière, Éric Archambault, Yves Gingras, Étienne Vignola‐Gagné",997-1004
Vincent Larivière,68,3,324,2006/12/26,Scientometrics,"Vincent Larivi? re, Yves Gingras, Éric Archambault",519-533
